
=========================================
FILE: DualSense Controller pos.png
Resolution: 1467 x 816
  Cluster 11: RawCenter=(263.9, 33.8), ScaledCenter=(75.6, 11.2), Size=133, Color=[219, 176, 28]
  Cluster 12: RawCenter=(290.5, 343.5), ScaledCenter=(83.2, 114.1), Size=300, Color=[244, 194, 18]
  Cluster 13: RawCenter=(291.5, 466.5), ScaledCenter=(83.5, 154.9), Size=300, Color=[244, 194, 18]
  Cluster 14: RawCenter=(292.5, 107.5), ScaledCenter=(83.8, 35.7), Size=300, Color=[244, 193, 17]
  Cluster 15: RawCenter=(302.5, 27.5), ScaledCenter=(86.7, 9.1), Size=300, Color=[244, 193, 17]
  Cluster 16: RawCenter=(368.5, 404.5), ScaledCenter=(105.6, 134.3), Size=300, Color=[244, 194, 18]
  Cluster 17: RawCenter=(372.6, 652.0), ScaledCenter=(106.7, 216.5), Size=119, Color=[254, 200, 14]
  Cluster 18: RawCenter=(388.9, 364.0), ScaledCenter=(111.4, 120.9), Size=192, Color=[214, 171, 22]
  Cluster 19: RawCenter=(392.4, 649.8), ScaledCenter=(112.4, 215.8), Size=145, Color=[254, 200, 13]
  Cluster 20: RawCenter=(409.9, 363.9), ScaledCenter=(117.4, 120.8), Size=176, Color=[226, 178, 15]
  Cluster 21: RawCenter=(412.5, 652.0), ScaledCenter=(118.2, 216.5), Size=24, Color=[254, 200, 14]
  Cluster 22: RawCenter=(432.4, 652.0), ScaledCenter=(123.9, 216.5), Size=122, Color=[231, 182, 15]
  Cluster 23: RawCenter=(442.5, 264.5), ScaledCenter=(126.8, 87.8), Size=300, Color=[244, 194, 18]
  Cluster 24: RawCenter=(449.8, 651.6), ScaledCenter=(128.9, 216.4), Size=128, Color=[202, 160, 19]
  Cluster 25: RawCenter=(464.3, 650.1), ScaledCenter=(133.0, 215.9), Size=102, Color=[215, 173, 28]
  Cluster 26: RawCenter=(480.0, 649.0), ScaledCenter=(137.5, 215.5), Size=96, Color=[225, 179, 24]
  Cluster 27: RawCenter=(486.5, 252.3), ScaledCenter=(139.4, 83.8), Size=135, Color=[210, 166, 15]
  Cluster 28: RawCenter=(502.2, 652.9), ScaledCenter=(143.9, 216.8), Size=118, Color=[214, 172, 28]
  Cluster 29: RawCenter=(504.7, 252.0), ScaledCenter=(144.6, 83.7), Size=183, Color=[223, 177, 16]
  Cluster 30: RawCenter=(505.5, 601.5), ScaledCenter=(144.8, 199.7), Size=300, Color=[244, 194, 18]
  Cluster 31: RawCenter=(519.5, 651.2), ScaledCenter=(148.8, 216.2), Size=160, Color=[206, 167, 31]
  Cluster 32: RawCenter=(526.6, 253.7), ScaledCenter=(150.9, 84.3), Size=159, Color=[210, 167, 18]
  Cluster 33: RawCenter=(536.5, 653.0), ScaledCenter=(153.7, 216.8), Size=119, Color=[214, 172, 29]
  Cluster 34: RawCenter=(546.0, 252.0), ScaledCenter=(156.4, 83.7), Size=194, Color=[210, 167, 18]
  Cluster 35: RawCenter=(550.7, 653.3), ScaledCenter=(157.8, 216.9), Size=83, Color=[213, 170, 23]
  Cluster 36: RawCenter=(565.3, 252.0), ScaledCenter=(162.0, 83.7), Size=176, Color=[207, 165, 18]
  Cluster 37: RawCenter=(567.1, 651.6), ScaledCenter=(162.5, 216.4), Size=134, Color=[207, 164, 17]
  Cluster 38: RawCenter=(583.8, 652.2), ScaledCenter=(167.3, 216.6), Size=116, Color=[232, 183, 14]
  Cluster 39: RawCenter=(605.1, 651.4), ScaledCenter=(173.4, 216.3), Size=110, Color=[254, 200, 13]
  Cluster 40: RawCenter=(619.0, 649.2), ScaledCenter=(177.3, 215.6), Size=100, Color=[254, 200, 13]
  Cluster 41: RawCenter=(631.2, 651.5), ScaledCenter=(180.8, 216.3), Size=64, Color=[254, 200, 14]
  Cluster 42: RawCenter=(642.0, 651.8), ScaledCenter=(183.9, 216.4), Size=104, Color=[254, 200, 13]
  Cluster 43: RawCenter=(658.8, 651.7), ScaledCenter=(188.7, 216.4), Size=137, Color=[254, 200, 13]
  Cluster 44: RawCenter=(666.0, 349.2), ScaledCenter=(190.8, 115.9), Size=113, Color=[241, 190, 15]
  Cluster 45: RawCenter=(666.4, 509.8), ScaledCenter=(190.9, 169.3), Size=40, Color=[196, 155, 16]
  Cluster 46: RawCenter=(683.7, 510.9), ScaledCenter=(195.9, 169.6), Size=113, Color=[186, 147, 16]
  Cluster 47: RawCenter=(685.4, 351.9), ScaledCenter=(196.4, 116.9), Size=178, Color=[208, 165, 18]
  Cluster 48: RawCenter=(698.7, 510.6), ScaledCenter=(200.2, 169.6), Size=41, Color=[183, 146, 21]
  Cluster 49: RawCenter=(705.7, 351.9), ScaledCenter=(202.2, 116.9), Size=164, Color=[209, 166, 18]
  Cluster 50: RawCenter=(706.5, 509.4), ScaledCenter=(202.4, 169.2), Size=34, Color=[216, 171, 17]
  Cluster 51: RawCenter=(714.4, 511.5), ScaledCenter=(204.7, 169.8), Size=44, Color=[187, 149, 19]
  Cluster 52: RawCenter=(722.5, 509.4), ScaledCenter=(207.0, 169.2), Size=34, Color=[214, 169, 15]
  Cluster 53: RawCenter=(725.0, 352.1), ScaledCenter=(207.7, 116.9), Size=133, Color=[206, 164, 18]
  Cluster 54: RawCenter=(729.0, 510.5), ScaledCenter=(208.9, 169.5), Size=30, Color=[176, 140, 22]
  Cluster 55: RawCenter=(731.6, 127.0), ScaledCenter=(209.6, 42.2), Size=9328, Color=[3, 76, 228]
  Cluster 56: RawCenter=(732.5, 230.4), ScaledCenter=(209.9, 76.5), Size=1268, Color=[19, 53, 124]
  Cluster 57: RawCenter=(732.5, 306.5), ScaledCenter=(209.9, 101.8), Size=300, Color=[241, 191, 15]
  Cluster 58: RawCenter=(732.5, 555.5), ScaledCenter=(209.9, 184.5), Size=300, Color=[250, 199, 23]
  Cluster 59: RawCenter=(736.0, 510.5), ScaledCenter=(210.9, 169.5), Size=52, Color=[180, 143, 20]
  Cluster 60: RawCenter=(745.7, 510.4), ScaledCenter=(213.6, 169.5), Size=50, Color=[192, 152, 16]
  Cluster 61: RawCenter=(746.3, 352.0), ScaledCenter=(213.8, 116.9), Size=183, Color=[223, 177, 17]
  Cluster 62: RawCenter=(758.8, 510.4), ScaledCenter=(217.4, 169.5), Size=53, Color=[195, 155, 19]
  Cluster 63: RawCenter=(772.1, 509.3), ScaledCenter=(221.2, 169.1), Size=72, Color=[206, 163, 16]
  Cluster 64: RawCenter=(772.5, 350.0), ScaledCenter=(221.3, 116.2), Size=136, Color=[231, 183, 16]
  Cluster 65: RawCenter=(785.0, 510.5), ScaledCenter=(224.9, 169.5), Size=52, Color=[177, 141, 17]
  Cluster 66: RawCenter=(789.9, 353.5), ScaledCenter=(226.3, 117.4), Size=157, Color=[212, 168, 18]
  Cluster 67: RawCenter=(795.2, 510.2), ScaledCenter=(227.8, 169.4), Size=49, Color=[195, 154, 16]
  Cluster 68: RawCenter=(809.9, 352.0), ScaledCenter=(232.0, 116.9), Size=192, Color=[209, 166, 18]
  Cluster 69: RawCenter=(819.0, 661.3), ScaledCenter=(234.6, 219.6), Size=145, Color=[254, 200, 13]
  Cluster 70: RawCenter=(835.1, 661.6), ScaledCenter=(239.2, 219.7), Size=111, Color=[254, 200, 13]
  Cluster 71: RawCenter=(871.0, 661.3), ScaledCenter=(249.5, 219.6), Size=145, Color=[254, 200, 13]
  Cluster 72: RawCenter=(883.2, 661.5), ScaledCenter=(253.0, 219.7), Size=64, Color=[253, 199, 14]
  Cluster 73: RawCenter=(895.0, 251.1), ScaledCenter=(256.4, 83.4), Size=173, Color=[212, 168, 17]
  Cluster 74: RawCenter=(895.6, 662.1), ScaledCenter=(256.6, 219.8), Size=122, Color=[234, 184, 14]
  Cluster 75: RawCenter=(913.1, 661.5), ScaledCenter=(261.6, 219.7), Size=140, Color=[222, 176, 17]
  Cluster 76: RawCenter=(913.8, 249.3), ScaledCenter=(261.8, 82.8), Size=153, Color=[211, 168, 18]
  Cluster 77: RawCenter=(930.0, 659.1), ScaledCenter=(266.4, 218.9), Size=98, Color=[223, 178, 23]
  Cluster 78: RawCenter=(930.5, 380.3), ScaledCenter=(266.6, 126.3), Size=135, Color=[212, 168, 18]
  Cluster 79: RawCenter=(933.0, 248.2), ScaledCenter=(267.3, 82.4), Size=113, Color=[241, 190, 15]
  Cluster 80: RawCenter=(947.6, 251.1), ScaledCenter=(271.5, 83.4), Size=91, Color=[210, 167, 18]
  Cluster 81: RawCenter=(949.4, 382.2), ScaledCenter=(272.0, 126.9), Size=214, Color=[208, 165, 18]
  Cluster 82: RawCenter=(952.6, 662.9), ScaledCenter=(272.9, 220.1), Size=120, Color=[211, 170, 28]
  Cluster 83: RawCenter=(958.5, 604.5), ScaledCenter=(274.6, 200.7), Size=300, Color=[244, 194, 18]
  Cluster 84: RawCenter=(963.4, 250.9), ScaledCenter=(276.0, 83.3), Size=178, Color=[208, 166, 19]
  Cluster 85: RawCenter=(970.1, 661.2), ScaledCenter=(277.9, 219.6), Size=147, Color=[214, 172, 27]
  Cluster 86: RawCenter=(970.1, 379.8), ScaledCenter=(277.9, 126.1), Size=163, Color=[209, 166, 16]
  Cluster 87: RawCenter=(985.1, 250.6), ScaledCenter=(282.2, 83.2), Size=188, Color=[213, 168, 15]
  Cluster 88: RawCenter=(989.1, 381.5), ScaledCenter=(283.4, 126.7), Size=158, Color=[209, 166, 15]
  Cluster 89: RawCenter=(992.6, 663.1), ScaledCenter=(284.4, 220.2), Size=203, Color=[217, 173, 21]
  Cluster 90: RawCenter=(1003.5, 251.3), ScaledCenter=(287.5, 83.4), Size=135, Color=[217, 173, 22]
  Cluster 91: RawCenter=(1008.9, 379.9), ScaledCenter=(289.0, 126.1), Size=176, Color=[225, 178, 15]
  Cluster 92: RawCenter=(1018.1, 661.6), ScaledCenter=(291.7, 219.7), Size=136, Color=[234, 184, 14]
  Cluster 93: RawCenter=(1023.5, 267.5), ScaledCenter=(293.2, 88.8), Size=300, Color=[244, 194, 18]
  Cluster 94: RawCenter=(1027.3, 380.0), ScaledCenter=(294.3, 126.2), Size=172, Color=[213, 169, 20]
  Cluster 95: RawCenter=(1033.9, 662.1), ScaledCenter=(296.2, 219.8), Size=118, Color=[254, 200, 13]
  Cluster 96: RawCenter=(1055.2, 661.5), ScaledCenter=(302.3, 219.7), Size=108, Color=[254, 200, 13]
  Cluster 97: RawCenter=(1069.5, 405.5), ScaledCenter=(306.4, 134.6), Size=300, Color=[244, 194, 18]
  Cluster 98: RawCenter=(1069.5, 659.1), ScaledCenter=(306.4, 218.8), Size=118, Color=[254, 200, 14]
  Cluster 99: RawCenter=(1070.2, 405.2), ScaledCenter=(306.6, 134.5), Size=1048, Color=[201, 157, 198]
  Cluster 100: RawCenter=(1081.8, 661.5), ScaledCenter=(309.9, 219.7), Size=64, Color=[254, 200, 14]
